title,Channel Name,Release Date (Day-Month-Year),Duration (in minutes),Total Views,Total Likes,Total Comments
"The Arsenal News Show EP95: Arteta Responds to Contract, Lautaro, Spurs loss & More! | #RawReactions",The Gooner Talk,24-02-2022,21.57,2053,195,7
"Arsenal vs ""Please Don't Celebrate"" Wolves | Line-Ups & Predictions | #LetsTalkArsenal",The Gooner Talk,23-02-2022,23.43,2149,153,6
"Raphinha, Felix & Arteta’s New Contract!",AFTV,23-02-2022,46.32,45944,1198,223
"The Arsenal News Show EP94: Arteta Contract, Joao Felix, Raphinha & More | #RawReactions",The Gooner Talk,23-02-2022,36.72,7577,385,64
"Arsenal vs Wolves: Preview, starting XI & prediction | No fresh injury concerns",The Chronicles of a Gooner - Harry Symeou,23-02-2022,45.48,2927,215,34
"Arsenal Youth Update: Balogun, Patino, Hutchinson, Salah, Flores & More! | #TacticalBreakdown",The Gooner Talk,23-02-2022,30.82,2276,131,9
Arsenal want to sign Joao Felix & Raphinha - Mikel Arteta's new 8.5M Arsenal contract,Deluded Gooner,23-02-2022,96.78,3554,245,3
"Talking Lacazette, Ødegaard, Arsenal vs Wolves & more!",The Chronicles of a Gooner - Harry Symeou,22-02-2022,56.45,4700,309,31
Top Four Race Takes Another Twist | Arsenal News,AFTV,21-02-2022,41.57,66142,1457,166
David Wants Prem Move - Maitland Niles Set For Return - Arteta Wants Joao Felix,Curtis Shaw TV,22-02-2022,54.15,15064,961,44
Arsenal Top 4 Favourites✅ Kane to Man Utd⚠️City or Liverpool for the title🔥Bruno SLAMS MEDIA!,The Football Terrace,22-02-2022,67.22,26410,822,150
Podcast 437 : Taming The Wolves II - The Return *An Arsenal Podcast,A Bergkamp Wonderland,23-02-2022,93.3,325,39,0
Have Your Say As Dominant Arsenal Claim Three Points! | Arsenal 2-1 Brentford,AFTV,19-02-2022,62.92,28865,577,35
THE ARSENAL BENCH | ARE THE WRONG PLAYERS SITTING vs STARTING or SUBBING??,Highbury Squad,08-12-2021,73.13,5364,312,55
New 3 Year Contract For Arteta - Raphinha A Summer Target - Press Conference Reaction,Curtis Shaw TV,23-02-2022,71.45,13645,872,103
Arsenal vs Brentford | Match Day Live,AFTV,19-02-2022,139.03,132712,1729,73
Arsenal Eye Broja Plus Could Gnabry Return! Feat Turkish & Robbie,AFTV,15-02-2022,59.85,95563,1975,351
"The Arsenal News Show EP93: Jonathan David, Danilo, Broja, Morata & More! | #rawReactions",The Gooner Talk,22-02-2022,24.65,7800,458,52
IS THERE HOPE FOR ARSENAL AND TOP 4? Arsenal If And When #33 ft @The Gooner Talk @AlbertJTV,Lee Judges TV,20-02-2022,76.5,17115,809,72
Chelsea v Arsenal | Premier League 2 | Live Match,Chelsea Football Club,19-09-2021,131.98,320035,4459,212
Arsenal 2-1 Brentford review | Arsenal vs Wolves preview and hopes for top 4,The Arsenal Lounge,21-02-2022,65.6,3539,264,43
ARSENAL 1-2 MAN CITY REACTION HIGHLIGHTS - Premier League 21/22,Thogden,01-01-2022,182.32,282895,5294,324
Arsenal V Brentford Live Watch Along (Curtis Shaw TV),Curtis Shaw TV,19-02-2022,157.98,32926,1250,39
Arsenal 3-0 Wimbledon | Full-Time Live,AFTV,22-09-2021,51.7,66962,1076,100
JUDGES VS GUNNER - FACEOFF Q&A about ARSENAL!!! #1 ft @Lee Gunner,Lee Judges TV,16-02-2022,63.53,32104,1918,516
Martinelli & Arsenal BATTER Leeds! Leeds United 1-4 Arsenal Highlights,The Football Terrace,18-12-2021,73.58,30999,764,86
Arsenal Rejected Icardi Swap & Stan Wins Super Bowl!,AFTV,14-02-2022,55.73,72540,1351,273
"Arsenal ‘Eye’ £16m Fabian Ruiz, Emile Smith Rowe No.9 & Wolves Celebrations | #TheArsenalAgenda",The Arsenal Way,22-02-2022,23.53,2497,169,31
Arsenal 2-1 Brentford review | Arsenal vs Wolves preview and hopes for top 4,Moh Haider,22-02-2022,65.6,1553,108,29
A Perfect Week For Arsenal As Spurs & United Go Winless!,AFTV,13-02-2022,69.22,99598,2244,334
BREAKING ARSENAL LIVE NEWS TODAY | MAITLAND-NILES MISERY AND MUCH MORE ARSENAL NEWS,Cannon Fodder TV,23-02-2022,21.47,255,14,0
MONDAY MADNESS | TOP 5 TALKING POINTS | THE ARSENAL | PREMIER LEAGUE,Highbury Squad,21-02-2022,62.15,4324,490,81
More Points Its All That Matters - The Same Old Arsenal Podcast - Arsenal VS Brentford,The Same Old Arsenal,21-02-2022,69.5,3540,239,20
Jonathan David speaks on his future  - Arsenal want to sign Olise & Danilo - Martinez update,Deluded Gooner,22-02-2022,83.98,3674,244,1
Arsenal vs Brentford | Starting XI Live,AFTV,19-02-2022,32.98,34112,709,28
EPL #23 - Arsenal 2-1 Brentford,Latte Firm,20-02-2022,45.43,8326,368,74
LEICESTER CITY 0-2 ARSENAL | WATCHALONG W/ TROOPZ AND ZAH,TroopzTV,30-10-2021,149.93,72366,2841,77
BRIGHTON 0-0 ARSENAL | WATCHALONG W/ TROOPZ AND ZAH,TroopzTV,02-10-2021,134.83,54380,1450,90
Shocking Martinelli RED CARD! Wolves 0-1 Arsenal | Liverpool 2-0 Leicester | Top 6 Show,The Football Terrace,10-02-2022,63.67,37125,1083,154
ARSENAL VS BURNLEY LIVE WATCHALONG WITH @Lee Gunner & OLA,Lee Gunner,23-01-2022,193.75,28748,1040,19
Nottingham Forest v Arsenal Live Watch Along (Curtis Shaw TV),Curtis Shaw TV,09-01-2022,174.53,44787,1482,117
ARSENAL vs TOTTENHAM LIVE Watchalong with Mark Goldbridge,Mark Goldbridge That's Football,26-09-2021,140.1,210595,4879,102
ARSENAL vs CRYSTAL PALACE LIVE Watchalong with Mark Goldbridge,Mark Goldbridge That's Football,18-10-2021,122.8,158846,3856,171
ARSENAL v LIVERPOOL | WATCHALONG LIVE FANZONE COMMENTARY,The Redmen TV,20-01-2022,136.72,53220,1785,17
EVERTON VS FREE HIT ARSENAL LIVE WATCHALONG WITH @Lee Gunner,Lee Gunner,06-12-2021,230.67,39656,2277,51
THIS WAS WORST NLD IN AGES WE GOT PEPPERED 🤬🤬Arsenal 3 vs Tottenham 1 LIVE with EXPRESSIONS,Expressions Oozing,26-09-2021,144.12,282984,8577,812
ARSENAL TOURNAMENT w/MINITOON.. (Roblox Piggy Team),KreekCraft,25-04-2021,131.98,1187919,22849,576
Arsenal vs. HB Køge | UEFA Women’s Champions League Matchday 4 Full Match,DAZN UEFA Women's Champions League,17-11-2021,121.42,97651,1602,14
THE BIG 6IX ⚽️ | ARSENAL BEAT WOLVES TO CAPITALISE ON TOTTENHAM & MANCHESTER UTD DROPPED POINTS 🔴,TurkishLDN,11-02-2022,89.73,62521,4652,262
Top 4 ON!✅ Emile Smith Rowe is CLASS! Arsenal 1-0 Watford Highlights & Reaction,The Football Terrace,07-11-2021,34.25,19307,704,89
